text,label,source
Got a physics exam coming up I’m going nuts I don’t know jack shi I can’t study cause of the stress cause I don’t know anything I just end up doom scrolling,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
Sleep anxiety before exam is the worst thing,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"Today was my math finals paper. I studied like hell for it. 7 hours a day, cried from exhaustion but i still practiced everyday for it. Yesterday i was feeling a bit confident since i practiced so much. But today, after not being able to solve a 5 marker, my mind went into panic mode and i ran out of time. I lost too many marks. I cried when i got home. My tuition Mam is very supportive though, but she explained that i need to change my mindset of thinking ghat ""one q wrong = im done"" but i just dont understand how to fix this. This is not the first time its happened. I have done this many times. I just feel like i can never do it.",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"to whoever is reading this, I come from an institution that makes us give 7 (hardcore engineering exams) in a span of 4 days... basically 2 exams per day. I have my last two endsems left. Pretty fucked up right now, lost a lot of my weight , muscle , life , etc. and it doesnt help that a lot of people have unalived themselves in my institution due to the stress of the exams and more. The fact is that they don't treat humans like humans and practically push us to the limits of our sanity. So whoever is reading this, please chill out and take 10 deep breaths, I'm compassionate about what you're going through even if I cant comprehend it. Just keep hanging on. When the going gets tough, the tough gets going.",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
Im getting more stressed watching this video,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
im stressed so i loose sleep and when i loose sleep i cant concentrate and by the time im home from school im too exhausted to study and by the time im at my desk bc i have to study i dont know where to start and two minutes in i have a mental breakdown bc of how much there is to do and how i cant wrap my head around how the hell im not gonna fail,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
I am also a little bit depressed although I have prepared very great,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"In 6th grade during my mid term exams,even though I studied I got average marks like 60/80 in every subject.i was so shocked that I was so stressed about my final exams that I would cry and overthink that even if I study I would get bad marks but I got my dream marks in annual of 6th .iwas happy but now my mid terms for 7th r coming and I just can't stop overthinking even though I studied 🥀🥲",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"Anxiety from studying doesn’t have to control your focus 🧠
 Google: NoteKnight study stress",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
My exam is tomorrow and im so stressed out im so close to giving up,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I had terrible exam stress and couldn’t sleep. After taking Planet Ayurveda NEUROGRNIE Capsules, my anxiety reduced drastically. 100% natural and effective—no side effects at all. Truly a lifesaver!",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"If any of yall are going through this, just remember, my stress levels are so much higher because i need to hit a certain target in each test in order to remain in my accelerated class",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"0:11 Gurl...the way my anxiety get me...i cant even breathe.i wanna puke..like i studied but am ok with just whateever the results are..still damnnn.
I will forget everything and will feel stressed about the materials that are there to study.",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"My exam is in 6h and I have been stressed since yesterday, consuming lots of study material and my brain isn’t braining anymore but I am more scared of the results since on my first test I was the only one who got 100/100, but this time I haven’t studied that well due to procrastination and i would be happy even with a 65 at least, but I am very scared of what will everyone think of the downfall of my grades, since they were all impressed with my 100 score. I don’t want to take that test. I still have lots of things to revise but I just can’t make myself sit and study anymore",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"Planet Ayurveda’s Ashwagandha Capsules help reduce stress and boost energy, perfect for staying calm during exams.",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"Amazing study tips! If you struggle with exam anxiety, you might want to try Planet Ayurveda’s Stress Support capsules. Helped me stay calm and focused!",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
Stress Support capsules of Planet Ayurveda can help in the management of stress due to exams.,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"""Planet Ayurveda’s Stress Support Capsule helped me manage the pressure during board exams. If you're stressed out, try it out for a calm mind and body",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I have my exam at 8 am , it's 5:30 am and I haven't slept yet. I have to wake up at 7 to get ready and I've been crying for an hour and half straight.. And I'm only 12.
my mental health is cooked fr",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
Anxiety during exam can effect you performance. to avoid this you can have Stress support Capsule from planet Ayurveda.,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"Thank u so much i wanted this so hard!!  
Tmrow is my science half yearly exam (10th std cbse) and i haven't prepared anything it's 10 pm rn. And my weak subject is math and science used to be my top subject and i still like it but as i was depressed i really had a downfall after 9th std and still I'm not able to do anything. I just don't want stress and anxiety and that i can reduce by havinh sympathy from people that yess , this is not the end of the world its just half yearly exam that's also 10th std, even board exam marks doesn't matter then how this shit! But still i m a depressed student so i really get anxious and stressed always!!!",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
Struggling with stress? Planet Ayurveda’s Stress Support Capsules provide natural relief and help restore mental peace.,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I am fucking tired!! Exhausted I am. Why I am like this? Every hard work is seems to like went in vain . Once I used to be a topper now I am a medium student and it’s the worst feeling ever. Today was my math exm. After getting the question paper , my hands were shaking, I did the same math yesterday and it came today in the exm. Yet I was so nervous that I can’t remember the steps. Now I don’t have any confidence. There is no one to support!!! I don’t know what to do. I couldn’t solve the mcq on time. Now I have feeling depressed I even cried a lot. Still tears are flowing ya. Please god help me


Edit: I passed my board exam with 96 percentage mark with talentpool scholarship and cracked medical entrance exam got selected into one of the top medical colleges in my country in 2025. Thank you all for praying",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"i wish my exams were before christmas just like most schools, now i was stressing over christmas",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"Im stressing over an exam i have in 1 day, i did my best, i worked nonstop, i just hope that my efforts will pay off, ALLAH will not waste my efforts, i know it.",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I don’t know why I am being like this , I used to be a disciplined one before completing my tasks on time but now I can’t even study a single thing , I thought of studying 3 hours regularly after school but I procrastinated the entire time reading nothing and now I have my boards within two months , here I am crippling with anxiety and stress that I can’t even do anything",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I did terribly in a test recently. I was so stressed I couldn't think clearly and didn't finish in time. Just now I reworked the paper, and I managed to work it out in 3/4 of the time given without any major difficulties. Hopefully this video helps with that",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
I can’t explain about how scared I am for my exams. Dear god please help me. I’m really so sick and tired of this but I’ve been procrastinating all day. I don’t know what to do. I’m hopeless.,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
12 hours till exams and I cant stop crying from worry,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"Some of my exam scopes are utterly insane . Talking about 9 chapters each 50+ slides . Sometimes it’s really inconvenient that we are given such loads . Stress and anxiety is not avoidable in exams , it’s all hard work and practice that brings you ease . Pray before you write, believe in yourself and go show that paper who really runs the show .",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I was quite anxious but when I saw Visit Nepal frame at 1:14 (since I'm from Nepal)
It was a smily face for me :)
Thanks",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"OMG, Calm Easy Capsules have made my anxiety so much better! I’m feeling more in control of my emotions",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"i intentionally searched for this. i'm stressing about college, about my future with thoughts of what if...",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I have 12 days before taking the driving test exam, and I'm stressed, lazy, cannot find a way to study, can't study without music even know music distracts me and yet motivates me, and I have stopped playing games for 2 weeks now still doesn't help.",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"god i have a different problem, because of anxiety i always avoid giving tests even though I have studied for it. I don't know what to do",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
What's the point of preparing so much if stress makes you mess up things in clinical practical exams. I am having chest pain from stress. I am dying.,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
I just. Messed up my science exam my favourite subject because i was panicked i worked so hard and yet i wrote the exam with shaking hands messing up everything,High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"That is what I am doing now I have to take these quizzes and exams in this accounting course… I had some very personal issues that spiral me into a depression. I am dealing with a doctor and therapist. My instructor has been very helpful and giving me more time, but I keep putting off the exam and test at the end of the chapters and it is, causing my stress to spiral",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"It’s really a vicious cycle, I suffer from anxiety disorder and I just feel so hopeless sometimes because even once I’m done with exams I get anxious about the next ones, then I’ll feel the same doing job interviews, then once I get a job..etc so I stopped telling myself I’ll be fine once I’m done with academic pressure, instead we should focus on treating the root cause which isn’t simple at all, hang in there better times will come",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
"I feel the same way, this year has been horrible academically while my close friends found it easy, I can't truly explain it but I have this negative comparison mindset where I've gotten so used to being wrong compared to my friends, that I doubt my answers, even if they are right. It's gotten so bad this Exam season that I've begun a chant to shut up the comparison voice in my head it involves cussing my friend, I know that's wrong but if I don't shut that voice up I'll never answer any questions. I don't have any Mental Health disorders but I do have a great case of the blues, as though I've put so much effort into things compared to other years, I'm seeing worse results. 

PS: sorry for wasting your time reading my lame excuse of a reply, if you have the time to read a stranger's comment, you definitely have the time to try a breathing exercise or two, it's been real God bless you, beautiful random stranger.",High,https://www.youtube.com/watch?v=-RZ86OB9hw4
