text,label,source
"I'm trying to lower my stress because high cortisol is bad Ok but seriously it's obviously effecting me sm. My body, my mind, my performance. I've always been such a stressed kid lol. I hope I can be normal for once.",Medium,https://www.youtube.com/watch?v=o18I23HCQtE
318 what if my memory is so bad that I forget about the exam an hour after being told?,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
"I use to get stressed over the little things, now I kinda just let things go, I still may get offended it depends how things are worded.",Medium,https://www.youtube.com/watch?v=o18I23HCQtE
1.20am been in a state of stress for over a year now.,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
Feeling peaceful thanks to Planet Ayurveda Memory Support Capsules for stress and anxiety,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
"1. I don't wash dishes, I'm not a wom... I can't say that 2. Yeah, I cuddle, but not a lot 3. I have terrible posture, it's what probably makes my mental health worse 4. I'm not a challenger, I don't do challenges 5. I can barely meditate for 2 minutes Overall, I'm a mentally fucked up person",Medium,https://www.youtube.com/watch?v=o18I23HCQtE
everysingle time if i heard the word call exam results mt heart beats soo fast,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
Thank you for making this video! I have bad stress and anxiety and think this will help me! D,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
Ok I am always stressed And it kind of helped! Thank you for showing this!,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
This video helped me I had exam for tomorrow I was so anxious cause it was the first time I go to school from year and a half...,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
"Can you help me psych2go I'm from Philippines, I feel depression,stress,mental illness, emotional depression in my bad memory in Ralationship every night it long time ago but I feels so painful my normal hobbit like Drawing they infected by my emotion struggle. I can't think better How can you help me?",Medium,https://www.youtube.com/watch?v=o18I23HCQtE
"watching this cuz my anxiety is high cuz of these things going to school, the new war that could happen ANY DAY NOW and the thought of change gives me anxiety so i neeeeed this",Medium,https://www.youtube.com/watch?v=o18I23HCQtE
You guys make me happy when you post when Im stressed.,Medium,https://www.youtube.com/watch?v=o18I23HCQtE
